,test_acc,train_acc,test_loss,train_loss
33,0.6824,0.7044444444444444,0.9128307723879814,0.839560545334551
34,0.682,0.7117555555555556,0.9067229470968247,0.8246057197756237
35,0.678,0.712,0.9088385788679123,0.817785023314423
36,0.6848,0.7190222222222222,0.8937920501708985,0.8039256658501095
37,0.6786,0.7211111111111111,0.9193094959616661,0.7983429634246562
38,0.684,0.7237333333333333,0.905561211258173,0.7864964793960253
39,0.6772,0.7268,0.9356294580936432,0.7764339443908798
40,0.6884,0.7292,0.8978940165281296,0.7719084862828255
41,0.6776,0.7335777777777778,0.9338559141635895,0.7593454592764377
42,0.6868,0.7376888888888888,0.900778902733326,0.7491643961237536
43,0.6818,0.7408666666666667,0.9243769636511803,0.7427688569184807
44,0.6832,0.7415555555555555,0.9062891429305077,0.731801006895966
45,0.683,0.7432444444444445,0.8995209625720978,0.7277309013062053
46,0.687,0.7474222222222222,0.8978359708309174,0.7158668847242992
47,0.6894,0.7511777777777778,0.8968377505660057,0.7108020375616021
48,0.6918,0.7538666666666667,0.8961676536798477,0.7021409667279985
49,0.6882,0.7585555555555555,0.9036046769738197,0.6917025567779939
50,0.6828,0.7576222222222222,0.9303852934002876,0.6863228810800447
51,0.6878,0.7602666666666666,0.9168339410424232,0.683494368853834
52,0.69,0.7637333333333334,0.9165253948807717,0.6726432644728157
53,0.6778,0.7654444444444445,0.9259816596984863,0.6653074399160014
54,0.6774,0.7676,0.9241011449098587,0.6603466159847048
55,0.6838,0.7715333333333333,0.9239686662912369,0.6509536604255438
56,0.6814,0.7729777777777778,0.9492317372739315,0.6468540001491706
57,0.6858,0.7751777777777777,0.9228806716173887,0.6351312259952228
58,0.6768,0.7766,0.9637870538175106,0.6301211871501472
59,0.6866,0.7804,0.9232258801221848,0.6238702158841822
60,0.6838,0.7826,0.931503948622942,0.6209600963628954
61,0.6802,0.7810444444444444,0.9557515309408308,0.6158640491750506
62,0.6864,0.7863111111111111,0.9392580658733845,0.6076690703862243
63,0.6838,0.7881111111111111,0.948570690637827,0.6008903762850496
64,0.6738,0.7910666666666667,1.0008212804079055,0.5943513884647025
65,0.6706,0.7900222222222222,0.9743748149305582,0.5892688236335913
66,0.6736,0.7942222222222223,0.9781738018631935,0.5806907058662838
67,0.671,0.7967333333333333,0.968877819788456,0.5767834692650371
68,0.6672,0.7957111111111111,1.0085424634456635,0.5756426180832915
69,0.673,0.7997555555555556,0.9769548967719078,0.5660630311163763
70,0.6702,0.7989111111111111,1.0058029453992843,0.5642046885980501
71,0.6656,0.8053777777777777,0.9953851561903954,0.5584989178889328
72,0.6828,0.8050888888888889,1.002764562907815,0.5518030224339829
73,0.6808,0.8080666666666667,0.9996197402894497,0.5436973126457797
74,0.6742,0.8062,0.98380642786026,0.542295795104901
75,0.6738,0.8104666666666667,1.0002340934932232,0.5368458242230946
76,0.6756,0.8130888888888889,1.0067287175238133,0.5277174039163524
77,0.6774,0.8129555555555555,1.0192649028390646,0.5241041094622678
78,0.6818,0.8151333333333334,0.9976316357463598,0.5214196630620294
79,0.6778,0.8170888888888889,1.009723580774665,0.5193801811887159
80,0.6736,0.8184444444444444,1.031500369811058,0.5108929229782687
81,0.6628,0.8213111111111111,1.0323567488312722,0.5052890889134672
82,0.6724,0.8214888888888889,1.0248555650532245,0.5023573458366923
83,0.6736,0.8228,1.0173599317669868,0.5000298658086194
84,0.6682,0.8254,1.0308167315602303,0.4914013088385264
85,0.6824,0.8265333333333333,1.0080220934271813,0.4870906886978282
86,0.6734,0.8279777777777778,1.0478743343830108,0.4814088813359539
87,0.6696,0.8304222222222222,1.0746176975041628,0.48243083836634953
88,0.672,0.8302222222222222,1.0682722630023955,0.4805814380340278
89,0.6728,0.8291111111111111,1.04617797960639,0.4770923682320449
90,0.6684,0.8334,1.0928617697656156,0.47164173746109006
91,0.6722,0.8322888888888889,1.0964278304308652,0.4717621255175935
92,0.6746,0.8344444444444444,1.0610073991149664,0.4648193794671032
93,0.6768,0.8363111111111111,1.0641180152177812,0.45874956778138876
94,0.6696,0.8383333333333334,1.0757518497645855,0.45597972867273623
95,0.6756,0.838,1.0777551775634289,0.4505391787923045
96,0.6816,0.8396444444444444,1.074492807906866,0.44612134773333867
97,0.677,0.8397555555555556,1.083651395522058,0.4450509854298499
98,0.659,0.8403777777777778,1.1345608711719513,0.44075960888564586
99,0.6702,0.8434666666666667,1.1199743219971656,0.43967759527017675
